URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
105534,352,3457,State-funded primary,327,168,159,51.4%,48.6%,14,4.3%,78,23.9%,65,262,0,19.9%,80.1%,0.0%,64,70,298,23.5%
105535,352,3460,State-funded primary,196,101,95,51.5%,48.5%,7,3.6%,10,5.1%,67,128,1,34.2%,65.3%,0.5%,91,85,169,50.3%
105536,352,3464,State-funded primary,253,137,116,54.2%,45.8%,0,0.0%,31,12.3%,86,167,0,34.0%,66.0%,0.0%,61,54,221,24.4%
105537,352,3465,State-funded primary,253,128,125,50.6%,49.4%,5,2.0%,35,13.8%,61,192,0,24.1%,75.9%,0.0%,104,97,217,44.7%
105539,352,3469,State-funded primary,225,96,129,42.7%,57.3%,2,0.9%,31,13.8%,121,104,0,53.8%,46.2%,0.0%,120,112,204,54.9%
105540,352,3472,State-funded primary,246,115,131,46.7%,53.3%,14,5.7%,20,8.1%,89,157,0,36.2%,63.8%,0.0%,111,102,217,47.0%
105541,352,3473,State-funded primary,213,99,114,46.5%,53.5%,10,4.7%,20,9.4%,39,174,0,18.3%,81.7%,0.0%,112,110,203,54.2%
105543,352,3475,State-funded primary,215,109,106,50.7%,49.3%,6,2.8%,31,14.4%,93,122,0,43.3%,56.7%,0.0%,94,84,193,43.5%
105544,352,3482,State-funded primary,474,236,238,49.8%,50.2%,16,3.4%,94,19.8%,240,234,0,50.6%,49.4%,0.0%,200,193,422,45.7%
105545,352,3484,State-funded primary,227,125,102,55.1%,44.9%,3,1.3%,43,18.9%,58,169,0,25.6%,74.4%,0.0%,97,94,207,45.4%
105546,352,3489,State-funded primary,394,206,188,52.3%,47.7%,12,3.0%,47,11.9%,56,338,0,14.2%,85.8%,0.0%,47,47,348,13.5%
105547,352,3490,State-funded primary,212,94,118,44.3%,55.7%,5,2.4%,35,16.5%,64,148,0,30.2%,69.8%,0.0%,91,79,186,42.5%
105548,352,3491,State-funded primary,160,81,79,50.6%,49.4%,3,1.9%,32,20.0%,45,114,1,28.1%,71.3%,0.6%,106,106,160,66.3%
105550,352,3494,State-funded primary,243,118,125,48.6%,51.4%,6,2.5%,59,24.3%,147,93,3,60.5%,38.3%,1.2%,65,60,208,28.8%
105553,352,3500,State-funded primary,259,129,130,49.8%,50.2%,11,4.2%,55,21.2%,82,177,0,31.7%,68.3%,0.0%,115,114,226,50.4%
105554,352,3501,State-funded primary,462,226,236,48.9%,51.1%,20,4.3%,70,15.2%,98,364,0,21.2%,78.8%,0.0%,191,185,425,43.5%
105560,352,4271,State-funded secondary,1822,896,926,49.2%,50.8%,58,3.2%,280,15.4%,1573,231,18,86.3%,12.7%,1.0%,753,800,1773,45.1%
105574,352,4753,State-funded secondary,760,347,413,45.7%,54.3%,16,2.1%,124,16.3%,300,459,1,39.5%,60.4%,0.1%,349,405,760,53.3%
105576,352,4761,State-funded secondary,962,510,452,53.0%,47.0%,32,3.3%,86,8.9%,596,366,0,62.0%,38.0%,0.0%,339,398,962,41.4%
105581,352,4768,State-funded secondary,909,412,497,45.3%,54.7%,40,4.4%,95,10.5%,161,748,0,17.7%,82.3%,0.0%,338,366,909,40.3%
105585,352,6001,Independent school,268,117,151,43.7%,56.3%,0,0.0%,21,7.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105587,353,6017,Independent school,104,47,57,45.2%,54.8%,3,2.9%,19,18.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105588,352,6021,Independent school,330,186,144,56.4%,43.6%,4,1.2%,75,22.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105591,352,6029,Independent school,1659,0,1659,0.0%,100.0%,3,0.2%,194,11.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105592,352,6030,Independent school,974,974,0,100.0%,0.0%,0,0.0%,34,3.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105594,352,6032,Independent school,761,313,448,41.1%,58.9%,0,0.0%,116,15.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105595,352,6033,Independent school,719,719,0,100.0%,0.0%,0,0.0%,80,11.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105596,352,6037,Independent school,27,10,17,37.0%,63.0%,0,0.0%,3,11.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105598,352,6041,Independent school,176,96,80,54.5%,45.5%,0,0.0%,17,9.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105601,352,6044,Independent school,211,77,134,36.5%,63.5%,1,0.5%,27,12.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105606,352,7023,State-funded special school,187,59,128,31.6%,68.4%,187,100.0%,0,0.0%,80,107,0,42.8%,57.2%,0.0%,123,128,187,68.4%
105608,352,7029,State-funded special school,183,58,125,31.7%,68.3%,182,99.5%,1,0.5%,76,107,0,41.5%,58.5%,0.0%,120,124,183,67.8%
105613,352,7041,State-funded special school,164,51,113,31.1%,68.9%,164,100.0%,0,0.0%,103,61,0,62.8%,37.2%,0.0%,86,88,164,53.7%
105614,352,7042,State-funded special school,172,25,147,14.5%,85.5%,172,100.0%,0,0.0%,9,163,0,5.2%,94.8%,0.0%,117,152,172,88.4%
105616,352,7047,State-funded special school,72,13,59,18.1%,81.9%,72,100.0%,0,0.0%,38,34,0,52.8%,47.2%,0.0%,44,46,72,63.9%
105623,352,7056,State-funded special school,129,21,108,16.3%,83.7%,128,99.2%,1,0.8%,2,127,0,1.6%,98.4%,0.0%,84,119,129,92.2%
105626,353,2000,State-funded primary,353,177,176,50.1%,49.9%,11,3.1%,40,11.3%,298,55,0,84.4%,15.6%,0.0%,124,128,353,36.3%
105627,353,2002,State-funded primary,217,108,109,49.8%,50.2%,6,2.8%,34,15.7%,80,137,0,36.9%,63.1%,0.0%,144,149,200,74.5%
105638,353,2033,State-funded primary,324,160,164,49.4%,50.6%,4,1.2%,41,12.7%,45,279,0,13.9%,86.1%,0.0%,183,173,297,58.2%
105645,353,2047,State-funded primary,329,161,168,48.9%,51.1%,6,1.8%,57,17.3%,241,88,0,73.3%,26.7%,0.0%,67,70,263,26.6%
105648,353,2052,State-funded primary,658,336,322,51.1%,48.9%,9,1.4%,22,3.3%,108,550,0,16.4%,83.6%,0.0%,63,68,626,10.9%
105649,353,2054,State-funded primary,211,107,104,50.7%,49.3%,4,1.9%,52,24.6%,32,179,0,15.2%,84.8%,0.0%,115,116,190,61.1%
105652,353,2058,State-funded primary,219,109,110,49.8%,50.2%,10,4.6%,27,12.3%,27,192,0,12.3%,87.7%,0.0%,48,48,204,23.5%
105656,353,2062,State-funded primary,440,213,227,48.4%,51.6%,9,2.0%,52,11.8%,16,424,0,3.6%,96.4%,0.0%,70,74,404,18.3%
105658,353,2064,State-funded primary,209,104,105,49.8%,50.2%,8,3.8%,25,12.0%,14,195,0,6.7%,93.3%,0.0%,27,29,209,13.9%
105659,353,2065,State-funded primary,187,84,103,44.9%,55.1%,1,0.5%,50,26.7%,2,185,0,1.1%,98.9%,0.0%,55,60,187,32.1%
105663,353,2071,State-funded primary,241,136,105,56.4%,43.6%,3,1.2%,43,17.8%,12,229,0,5.0%,95.0%,0.0%,75,75,210,35.7%
105665,353,2075,State-funded primary,177,86,91,48.6%,51.4%,2,1.1%,15,8.5%,3,174,0,1.7%,98.3%,0.0%,13,15,177,8.5%
105666,353,2076,State-funded primary,104,43,61,41.3%,58.7%,0,0.0%,11,10.6%,1,103,0,1.0%,99.0%,0.0%,13,13,104,12.5%
105667,353,2077,State-funded primary,293,138,155,47.1%,52.9%,7,2.4%,19,6.5%,18,275,0,6.1%,93.9%,0.0%,34,34,256,13.3%
105668,353,2078,State-funded primary,180,87,93,48.3%,51.7%,1,0.6%,18,10.0%,56,124,0,31.1%,68.9%,0.0%,36,32,153,20.9%
105669,353,2079,State-funded primary,203,99,104,48.8%,51.2%,8,3.9%,15,7.4%,1,202,0,0.5%,99.5%,0.0%,25,27,203,13.3%
105670,353,2080,State-funded primary,298,157,141,52.7%,47.3%,6,2.0%,21,7.0%,94,204,0,31.5%,68.5%,0.0%,86,95,298,31.9%
105671,353,2085,State-funded primary,206,119,87,57.8%,42.2%,2,1.0%,19,9.2%,3,203,0,1.5%,98.5%,0.0%,19,20,206,9.7%
105676,353,2095,State-funded primary,398,192,206,48.2%,51.8%,15,3.8%,44,11.1%,283,115,0,71.1%,28.9%,0.0%,113,118,320,36.9%
105679,353,2098,State-funded primary,246,130,116,52.8%,47.2%,8,3.3%,44,17.9%,209,37,0,85.0%,15.0%,0.0%,67,68,219,31.1%
105680,353,2099,State-funded primary,479,247,232,51.6%,48.4%,15,3.1%,34,7.1%,472,7,0,98.5%,1.5%,0.0%,111,122,419,29.1%
105686,353,2109,State-funded primary,458,239,219,52.2%,47.8%,16,3.5%,66,14.4%,323,135,0,70.5%,29.5%,0.0%,152,162,412,39.3%
105688,353,3005,State-funded primary,130,60,70,46.2%,53.8%,1,0.8%,11,8.5%,4,126,0,3.1%,96.9%,0.0%,24,25,130,19.2%
105691,353,3009,State-funded primary,225,106,119,47.1%,52.9%,6,2.7%,14,6.2%,2,223,0,0.9%,99.1%,0.0%,14,15,198,7.6%
105692,353,3010,State-funded primary,203,97,106,47.8%,52.2%,1,0.5%,5,2.5%,5,198,0,2.5%,97.5%,0.0%,25,25,203,12.3%
105693,353,3011,State-funded primary,100,52,48,52.0%,48.0%,3,3.0%,13,13.0%,0,100,0,0.0%,100.0%,0.0%,18,18,100,18.0%
105694,353,3012,State-funded primary,301,149,152,49.5%,50.5%,3,1.0%,17,5.6%,17,283,1,5.6%,94.0%,0.3%,66,76,276,27.5%
105695,353,3303,State-funded primary,229,107,122,46.7%,53.3%,5,2.2%,23,10.0%,18,211,0,7.9%,92.1%,0.0%,113,115,206,55.8%
105698,353,3315,State-funded primary,486,244,242,50.2%,49.8%,17,3.5%,65,13.4%,439,43,4,90.3%,8.8%,0.8%,174,183,414,44.2%
105699,353,3325,State-funded primary,213,114,99,53.5%,46.5%,6,2.8%,54,25.4%,73,140,0,34.3%,65.7%,0.0%,122,121,198,61.1%
105700,353,3326,State-funded primary,103,46,57,44.7%,55.3%,4,3.9%,18,17.5%,5,98,0,4.9%,95.1%,0.0%,46,49,103,47.6%
105701,353,3328,State-funded primary,228,108,120,47.4%,52.6%,3,1.3%,39,17.1%,88,140,0,38.6%,61.4%,0.0%,94,95,205,46.3%
105702,353,3329,State-funded primary,393,193,200,49.1%,50.9%,9,2.3%,57,14.5%,276,117,0,70.2%,29.8%,0.0%,143,149,356,41.9%
105703,353,3330,State-funded primary,243,120,123,49.4%,50.6%,9,3.7%,47,19.3%,16,227,0,6.6%,93.4%,0.0%,124,126,217,58.1%
105705,353,3333,State-funded primary,346,177,169,51.2%,48.8%,11,3.2%,91,26.3%,109,237,0,31.5%,68.5%,0.0%,142,144,310,46.5%
105707,353,3341,State-funded primary,280,137,143,48.9%,51.1%,4,1.4%,49,17.5%,101,179,0,36.1%,63.9%,0.0%,68,77,280,27.5%
105708,353,3342,State-funded primary,198,98,100,49.5%,50.5%,8,4.0%,42,21.2%,55,143,0,27.8%,72.2%,0.0%,94,98,198,49.5%
105709,353,3344,State-funded primary,401,208,193,51.9%,48.1%,8,2.0%,52,13.0%,21,380,0,5.2%,94.8%,0.0%,69,78,401,19.5%
105710,353,3345,State-funded primary,191,102,89,53.4%,46.6%,5,2.6%,15,7.9%,11,180,0,5.8%,94.2%,0.0%,79,79,191,41.4%
105711,353,3346,State-funded primary,206,99,107,48.1%,51.9%,8,3.9%,30,14.6%,3,203,0,1.5%,98.5%,0.0%,16,16,206,7.8%
105714,353,3351,State-funded primary,201,112,89,55.7%,44.3%,7,3.5%,23,11.4%,36,165,0,17.9%,82.1%,0.0%,73,75,201,37.3%
105715,353,3353,State-funded primary,286,139,147,48.6%,51.4%,7,2.4%,56,19.6%,47,239,0,16.4%,83.6%,0.0%,85,88,268,32.8%
105718,353,3358,State-funded primary,332,164,168,49.4%,50.6%,6,1.8%,32,9.6%,87,245,0,26.2%,73.8%,0.0%,84,81,307,26.4%
105719,353,3359,State-funded primary,232,118,114,50.9%,49.1%,3,1.3%,31,13.4%,14,218,0,6.0%,94.0%,0.0%,21,20,208,9.6%
105720,353,3362,State-funded primary,266,149,117,56.0%,44.0%,8,3.0%,34,12.8%,23,243,0,8.6%,91.4%,0.0%,48,50,244,20.5%
105721,353,3363,State-funded primary,362,177,185,48.9%,51.1%,4,1.1%,41,11.3%,80,282,0,22.1%,77.9%,0.0%,97,97,327,29.7%
105722,353,3364,State-funded primary,340,172,168,50.6%,49.4%,9,2.6%,63,18.5%,48,292,0,14.1%,85.9%,0.0%,97,98,310,31.6%
105723,353,3366,State-funded primary,195,102,93,52.3%,47.7%,5,2.6%,13,6.7%,0,195,0,0.0%,100.0%,0.0%,10,11,195,5.6%
105725,353,3401,State-funded primary,232,112,120,48.3%,51.7%,10,4.3%,20,8.6%,83,149,0,35.8%,64.2%,0.0%,105,100,208,48.1%
105726,353,3402,State-funded primary,213,99,114,46.5%,53.5%,4,1.9%,23,10.8%,166,47,0,77.9%,22.1%,0.0%,91,91,194,46.9%
105727,353,3403,State-funded primary,458,225,233,49.1%,50.9%,10,2.2%,32,7.0%,32,426,0,7.0%,93.0%,0.0%,92,98,411,23.8%
105736,353,4026,State-funded secondary,1404,695,709,49.5%,50.5%,41,2.9%,193,13.7%,29,1374,1,2.1%,97.9%,0.1%,313,346,1404,24.6%
105738,353,4028,State-funded secondary,1496,721,775,48.2%,51.8%,35,2.3%,114,7.6%,787,709,0,52.6%,47.4%,0.0%,471,517,1496,34.6%
105745,353,6012,Independent school,768,363,405,47.3%,52.7%,5,0.7%,19,2.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105747,353,6014,Independent school,52,27,25,51.9%,48.1%,0,0.0%,12,23.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105748,353,6015,Independent school,15,3,12,20.0%,80.0%,15,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105757,354,1001,State-funded nursery,86,39,47,45.3%,54.7%,3,3.5%,8,9.3%,48,38,0,55.8%,44.2%,0.0%,0,0,0,0.0%
105760,354,1005,State-funded nursery,59,28,31,47.5%,52.5%,1,1.7%,3,5.1%,2,57,0,3.4%,96.6%,0.0%,0,0,0,0.0%
105764,354,2000,State-funded primary,222,116,106,52.3%,47.7%,5,2.3%,18,8.1%,152,70,0,68.5%,31.5%,0.0%,77,78,202,38.6%
105765,354,2002,State-funded primary,363,180,183,49.6%,50.4%,13,3.6%,63,17.4%,98,265,0,27.0%,73.0%,0.0%,116,124,329,37.7%
105766,354,2003,State-funded primary,443,214,229,48.3%,51.7%,26,5.9%,39,8.8%,94,349,0,21.2%,78.8%,0.0%,87,89,393,22.6%
105768,354,2006,State-funded primary,461,230,231,49.9%,50.1%,17,3.7%,20,4.3%,278,183,0,60.3%,39.7%,0.0%,134,140,422,33.2%
105770,354,2009,State-funded primary,704,344,360,48.9%,51.1%,36,5.1%,61,8.7%,603,101,0,85.7%,14.3%,0.0%,216,223,593,37.6%
105773,354,2015,State-funded primary,360,160,200,44.4%,55.6%,11,3.1%,59,16.4%,114,246,0,31.7%,68.3%,0.0%,180,189,335,56.4%
105774,354,2018,State-funded primary,403,180,223,44.7%,55.3%,11,2.7%,68,16.9%,82,321,0,20.3%,79.7%,0.0%,72,71,385,18.4%
105776,354,2021,State-funded primary,446,222,224,49.8%,50.2%,6,1.3%,36,8.1%,260,185,1,58.3%,41.5%,0.2%,134,137,412,33.3%
105777,354,2024,State-funded primary,513,243,270,47.4%,52.6%,17,3.3%,89,17.3%,272,240,1,53.0%,46.8%,0.2%,186,207,513,40.4%
105778,354,2025,State-funded primary,458,211,247,46.1%,53.9%,27,5.9%,59,12.9%,265,193,0,57.9%,42.1%,0.0%,165,165,416,39.7%
105779,354,2027,State-funded primary,233,111,122,47.6%,52.4%,0,0.0%,31,13.3%,57,176,0,24.5%,75.5%,0.0%,25,25,207,12.1%
105780,354,2028,State-funded primary,406,188,218,46.3%,53.7%,11,2.7%,44,10.8%,228,178,0,56.2%,43.8%,0.0%,141,155,373,41.6%
105781,354,2029,State-funded primary,427,208,219,48.7%,51.3%,10,2.3%,18,4.2%,36,391,0,8.4%,91.6%,0.0%,29,32,396,8.1%
105783,354,2032,State-funded primary,240,119,121,49.6%,50.4%,4,1.7%,10,4.2%,224,16,0,93.3%,6.7%,0.0%,64,66,205,32.2%
105785,354,2036,State-funded primary,363,174,189,47.9%,52.1%,7,1.9%,26,7.2%,8,355,0,2.2%,97.8%,0.0%,72,74,337,22.0%
105786,354,2039,State-funded primary,483,254,229,52.6%,47.4%,16,3.3%,35,7.2%,44,439,0,9.1%,90.9%,0.0%,90,92,427,21.5%
105787,354,2041,State-funded primary,428,211,217,49.3%,50.7%,24,5.6%,64,15.0%,109,319,0,25.5%,74.5%,0.0%,199,192,401,47.9%
105789,354,2044,State-funded primary,312,145,167,46.5%,53.5%,18,5.8%,53,17.0%,3,309,0,1.0%,99.0%,0.0%,87,87,283,30.7%
105791,354,2047,State-funded primary,431,209,222,48.5%,51.5%,6,1.4%,69,16.0%,37,394,0,8.6%,91.4%,0.0%,141,143,399,35.8%
105792,354,2048,State-funded primary,352,169,183,48.0%,52.0%,15,4.3%,51,14.5%,48,304,0,13.6%,86.4%,0.0%,127,138,334,41.3%
105796,354,2061,State-funded primary,367,173,194,47.1%,52.9%,12,3.3%,72,19.6%,70,297,0,19.1%,80.9%,0.0%,206,209,344,60.8%
105797,354,2062,State-funded primary,168,86,82,51.2%,48.8%,3,1.8%,18,10.7%,8,160,0,4.8%,95.2%,0.0%,40,44,168,26.2%
105798,354,2063,State-funded primary,421,217,204,51.5%,48.5%,9,2.1%,53,12.6%,9,412,0,2.1%,97.9%,0.0%,81,93,421,22.1%
105799,354,2064,State-funded primary,216,97,119,44.9%,55.1%,13,6.0%,45,20.8%,20,196,0,9.3%,90.7%,0.0%,68,72,216,33.3%
105800,354,2065,State-funded primary,321,160,161,49.8%,50.2%,11,3.4%,47,14.6%,242,79,0,75.4%,24.6%,0.0%,95,100,294,34.0%
105802,354,3002,State-funded primary,337,148,189,43.9%,56.1%,11,3.3%,42,12.5%,58,279,0,17.2%,82.8%,0.0%,95,103,337,30.6%
105803,354,3003,State-funded primary,462,228,234,49.4%,50.6%,7,1.5%,71,15.4%,259,203,0,56.1%,43.9%,0.0%,183,185,419,44.2%
105804,354,3004,State-funded primary,208,103,105,49.5%,50.5%,7,3.4%,34,16.3%,23,185,0,11.1%,88.9%,0.0%,96,97,208,46.6%
105805,354,3006,State-funded primary,381,194,187,50.9%,49.1%,16,4.2%,72,18.9%,39,342,0,10.2%,89.8%,0.0%,113,126,381,33.1%
105806,354,3007,State-funded primary,101,59,42,58.4%,41.6%,3,3.0%,15,14.9%,0,101,0,0.0%,100.0%,0.0%,9,9,101,8.9%
105808,354,3011,State-funded primary,222,111,111,50.0%,50.0%,1,0.5%,28,12.6%,26,196,0,11.7%,88.3%,0.0%,58,63,198,31.8%
105810,354,3013,State-funded primary,120,53,67,44.2%,55.8%,1,0.8%,15,12.5%,2,118,0,1.7%,98.3%,0.0%,41,42,120,35.0%
105811,354,3014,State-funded primary,237,127,110,53.6%,46.4%,3,1.3%,48,20.3%,10,227,0,4.2%,95.8%,0.0%,37,37,210,17.6%
105812,354,3016,State-funded primary,196,92,104,46.9%,53.1%,3,1.5%,35,17.9%,59,137,0,30.1%,69.9%,0.0%,79,84,196,42.9%
105813,354,3305,State-funded primary,235,115,120,48.9%,51.1%,6,2.6%,27,11.5%,14,221,0,6.0%,94.0%,0.0%,11,13,206,6.3%
105814,354,3306,State-funded primary,215,107,108,49.8%,50.2%,7,3.3%,17,7.9%,2,213,0,0.9%,99.1%,0.0%,25,25,215,11.6%
105815,354,3307,State-funded primary,203,98,105,48.3%,51.7%,11,5.4%,34,16.7%,8,195,0,3.9%,96.1%,0.0%,93,97,203,47.8%
105816,354,3310,State-funded primary,219,118,101,53.9%,46.1%,7,3.2%,24,11.0%,14,205,0,6.4%,93.6%,0.0%,41,41,203,20.2%
105817,354,3311,State-funded primary,230,122,108,53.0%,47.0%,4,1.7%,29,12.6%,17,213,0,7.4%,92.6%,0.0%,38,39,230,17.0%
105818,354,3312,State-funded primary,455,240,215,52.7%,47.3%,7,1.5%,87,19.1%,141,314,0,31.0%,69.0%,0.0%,125,126,420,30.0%
105820,354,3319,State-funded primary,339,157,182,46.3%,53.7%,9,2.7%,31,9.1%,19,320,0,5.6%,94.4%,0.0%,37,39,312,12.5%
105821,354,3321,State-funded primary,419,200,219,47.7%,52.3%,6,1.4%,60,14.3%,50,369,0,11.9%,88.1%,0.0%,142,145,400,36.3%
105822,354,3322,State-funded primary,213,106,107,49.8%,50.2%,4,1.9%,18,8.5%,5,208,0,2.3%,97.7%,0.0%,12,14,213,6.6%
105823,354,3323,State-funded primary,207,105,102,50.7%,49.3%,3,1.4%,30,14.5%,7,200,0,3.4%,96.6%,0.0%,56,64,207,30.9%
105824,354,3325,State-funded primary,145,72,73,49.7%,50.3%,6,4.1%,25,17.2%,3,142,0,2.1%,97.9%,0.0%,34,35,145,24.1%
105825,354,3500,State-funded primary,187,84,103,44.9%,55.1%,6,3.2%,26,13.9%,35,152,0,18.7%,81.3%,0.0%,54,59,187,31.6%
105826,354,3501,State-funded primary,217,110,107,50.7%,49.3%,6,2.8%,23,10.6%,145,72,0,66.8%,33.2%,0.0%,80,82,197,41.6%
105828,354,3505,State-funded primary,230,122,108,53.0%,47.0%,11,4.8%,35,15.2%,59,171,0,25.7%,74.3%,0.0%,65,61,208,29.3%
105829,354,3506,State-funded primary,228,120,108,52.6%,47.4%,4,1.8%,28,12.3%,70,158,0,30.7%,69.3%,0.0%,80,82,202,40.6%
105830,354,3507,State-funded primary,232,104,128,44.8%,55.2%,5,2.2%,37,15.9%,65,167,0,28.0%,72.0%,0.0%,81,92,209,44.0%
105831,354,3508,State-funded primary,375,184,191,49.1%,50.9%,4,1.1%,61,16.3%,41,334,0,10.9%,89.1%,0.0%,73,73,375,19.5%
105833,354,3510,State-funded primary,403,202,201,50.1%,49.9%,7,1.7%,26,6.5%,47,356,0,11.7%,88.3%,0.0%,95,99,403,24.6%
105837,354,4086,State-funded secondary,1352,660,692,48.8%,51.2%,30,2.2%,177,13.1%,810,537,5,59.9%,39.7%,0.4%,504,538,1352,39.8%
105844,354,4611,State-funded secondary,1204,608,596,50.5%,49.5%,45,3.7%,189,15.7%,121,1081,2,10.0%,89.8%,0.2%,241,281,1053,26.7%
105845,354,4612,State-funded secondary,1118,555,563,49.6%,50.4%,24,2.1%,206,18.4%,257,855,6,23.0%,76.5%,0.5%,401,475,1118,42.5%
105846,354,5200,State-funded primary,317,164,153,51.7%,48.3%,8,2.5%,47,14.8%,6,311,0,1.9%,98.1%,0.0%,44,46,317,14.5%
105847,354,5201,State-funded primary,435,212,223,48.7%,51.3%,7,1.6%,91,20.9%,8,427,0,1.8%,98.2%,0.0%,39,45,396,11.4%
105849,354,5203,State-funded primary,206,102,104,49.5%,50.5%,8,3.9%,22,10.7%,26,180,0,12.6%,87.4%,0.0%,49,53,206,25.7%
105850,354,5204,State-funded primary,208,110,98,52.9%,47.1%,7,3.4%,21,10.1%,10,198,0,4.8%,95.2%,0.0%,38,40,208,19.2%
105855,354,6001,Independent school,185,81,104,43.8%,56.2%,8,4.3%,21,11.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105861,354,7006,State-funded special school,92,16,76,17.4%,82.6%,86,93.5%,6,6.5%,3,89,0,3.3%,96.7%,0.0%,63,72,92,78.3%
105884,355,2007,State-funded primary,351,185,166,52.7%,47.3%,6,1.7%,83,23.6%,46,300,5,13.1%,85.5%,1.4%,89,93,351,26.5%
105886,355,2011,State-funded primary,230,114,116,49.6%,50.4%,4,1.7%,48,20.9%,75,155,0,32.6%,67.4%,0.0%,125,119,206,57.8%
105889,355,2026,State-funded primary,229,120,109,52.4%,47.6%,6,2.6%,63,27.5%,83,146,0,36.2%,63.8%,0.0%,96,87,205,42.4%
105893,355,2036,State-funded primary,230,106,124,46.1%,53.9%,18,7.8%,37,16.1%,113,114,3,49.1%,49.6%,1.3%,106,101,207,48.8%
105894,355,2037,State-funded primary,307,146,161,47.6%,52.4%,1,0.3%,54,17.6%,22,285,0,7.2%,92.8%,0.0%,54,52,263,19.8%
105896,355,2040,State-funded primary,391,198,193,50.6%,49.4%,12,3.1%,61,15.6%,232,158,1,59.3%,40.4%,0.3%,146,138,361,38.2%
105897,355,2051,State-funded primary,390,186,204,47.7%,52.3%,12,3.1%,74,19.0%,73,311,6,18.7%,79.7%,1.5%,212,198,361,54.8%
105898,355,2052,State-funded primary,438,210,228,47.9%,52.1%,12,2.7%,60,13.7%,31,407,0,7.1%,92.9%,0.0%,102,97,393,24.7%
105902,355,2057,State-funded primary,342,158,184,46.2%,53.8%,4,1.2%,43,12.6%,92,250,0,26.9%,73.1%,0.0%,98,93,303,30.7%
105903,355,2059,State-funded primary,432,215,217,49.8%,50.2%,18,4.2%,64,14.8%,186,245,1,43.1%,56.7%,0.2%,172,170,402,42.3%
105904,355,2061,State-funded primary,455,231,224,50.8%,49.2%,14,3.1%,48,10.5%,30,425,0,6.6%,93.4%,0.0%,57,54,426,12.7%
105905,355,2062,State-funded primary,270,142,128,52.6%,47.4%,5,1.9%,56,20.7%,39,228,3,14.4%,84.4%,1.1%,149,142,252,56.3%
105906,355,2063,State-funded primary,253,126,127,49.8%,50.2%,17,6.7%,51,20.2%,34,218,1,13.4%,86.2%,0.4%,123,118,227,52.0%
105907,355,2065,State-funded primary,300,150,150,50.0%,50.0%,10,3.3%,71,23.7%,21,269,10,7.0%,89.7%,3.3%,112,105,275,38.2%
105910,355,2070,State-funded primary,629,294,335,46.7%,53.3%,21,3.3%,99,15.7%,80,549,0,12.7%,87.3%,0.0%,169,158,569,27.8%
105911,355,2072,State-funded primary,431,194,237,45.0%,55.0%,20,4.6%,83,19.3%,40,390,1,9.3%,90.5%,0.2%,102,104,385,27.0%
105912,355,2073,State-funded primary,441,234,207,53.1%,46.9%,8,1.8%,115,26.1%,103,335,3,23.4%,76.0%,0.7%,222,223,415,53.7%
105913,355,2074,State-funded primary,438,221,217,50.5%,49.5%,9,2.1%,119,27.2%,74,364,0,16.9%,83.1%,0.0%,261,236,394,59.9%
105914,355,2075,State-funded primary,229,119,110,52.0%,48.0%,7,3.1%,78,34.1%,50,177,2,21.8%,77.3%,0.9%,134,128,205,62.4%
105915,355,2076,State-funded primary,127,45,82,35.4%,64.6%,19,15.0%,27,21.3%,22,105,0,17.3%,82.7%,0.0%,79,71,115,61.7%
105917,355,2081,State-funded primary,182,90,92,49.5%,50.5%,6,3.3%,38,20.9%,15,165,2,8.2%,90.7%,1.1%,87,84,171,49.1%
105918,355,2082,State-funded primary,253,127,126,50.2%,49.8%,9,3.6%,21,8.3%,12,241,0,4.7%,95.3%,0.0%,16,17,223,7.6%
105922,355,2088,State-funded primary,225,107,118,47.6%,52.4%,2,0.9%,31,13.8%,30,195,0,13.3%,86.7%,0.0%,97,87,204,42.6%
105924,355,2091,State-funded primary,405,191,214,47.2%,52.8%,8,2.0%,81,20.0%,127,278,0,31.4%,68.6%,0.0%,101,93,375,24.8%
105925,355,2092,State-funded primary,351,178,173,50.7%,49.3%,2,0.6%,79,22.5%,78,272,1,22.2%,77.5%,0.3%,168,159,329,48.3%
